h_mean,v_score,r_hat
0.8,9.331420322394814e-06,1.0165360170967457
0.8,1.3252200351296615e-05,1.0159604142356797
0.8,2.3232372280170843e-05,1.020657008198044
0.8,2.0921908596279874e-05,1.0553633071300494
0.8,7.0410046618516085e-06,1.0082868483292413
0.8,1.4778544686183369e-05,1.0219068399704567
0.8,3.061739530612779e-05,1.0357165986526538
0.8,3.262547238684256e-05,1.0042088534172107
0.8,1.7575472155104545e-05,1.0016782554015156
0.8,7.835909506848241e-06,1.0035448329290264
0.8,1.5247324979576571e-05,1.0064617854921312
0.97,8.353411736947416e-06,1.0094471942877459
0.97,1.5976492379618707e-05,1.0421345429806006
0.97,1.2267036878656571e-05,1.0367581199414264
0.97,1.1804817438297748e-05,1.022105663718446
0.97,1.5314159798015965e-05,1.0129571102329336
0.97,1.0007894785496185e-05,1.016509002996938
0.97,1.739238017849114e-05,1.037695733299991
0.97,1.3900616911737319e-05,1.0175789711068255
0.97,1.2179655556948552e-05,1.0256473327784426
0.97,1.2538949093714702e-05,1.0379529546877837
0.97,8.920221157942324e-06,1.0339968528144865
0.9786,1.2570486833201412e-05,1.0420522756728063
0.9786,1.3930024386137412e-05,1.0505374500264513
0.9786,1.0896435646499678e-05,1.020212095717311
0.9786,1.1803557246908855e-05,1.0419505131112594
0.9786,1.2899166945579837e-05,1.0303114644268059
0.9786,1.1815548267468763e-05,1.0320270981476176
0.9786,2.019799123951377e-05,1.0711396899809873
0.9786,1.4092820728540727e-05,1.036317189884925
0.9786,2.34601198466593e-05,1.0284544135277753
0.9786,1.6052937255030817e-05,1.019230144573233
0.9786,1.7722897858965057e-05,1.0447144452270558
0.9871,1.6257637635908006e-05,1.0678126359500595
0.9871,1.886773563222424e-05,1.044781403452673
0.9871,1.9609351785023883e-05,1.0296883052089458
0.9871,1.7652817714983368e-05,1.020573362009485
0.9871,1.4860633407472902e-05,1.023631919460489
0.9871,1.801840776219207e-05,1.034602461221664
0.9871,1.2691312595927e-05,1.0242365702635765
0.9871,1.3674487740234079e-05,1.0260874430680604
0.9871,1.688331421242686e-05,1.055528976051375
0.9871,1.3162233797451655e-05,1.0508770970576005
0.9871,1.1890720038358483e-05,1.0689160167186167
0.9957,1.844490402694178e-05,1.0359622453612871
0.9957,2.2896991267756645e-05,1.0318628147400601
0.9957,1.5634150241569978e-05,1.045333793395498
0.9957,1.3657167235656452e-05,1.05778790161989
0.9957,1.1920857397618215e-05,1.0535010633296438
0.9957,2.4938620092583856e-05,1.0252304396801428
0.9957,1.2136858478723337e-05,1.0208899488875138
0.9957,1.5377160468555417e-05,1.0362255314721447
0.9957,1.4920627986863455e-05,1.0254182804631138
0.9957,1.533030364517071e-05,1.0371407298646003
0.9957,1.2123826837048231e-05,1.0463712068743773
1.0043,1.9898450297109497e-05,1.0436668913982854
1.0043,2.032270534956085e-05,1.0296004332831303
1.0043,1.3824306233483721e-05,1.038860838644524
1.0043,1.685249626178889e-05,1.0356831563873223
1.0043,1.3495622013291125e-05,1.0244088211891305
1.0043,1.5958075450014145e-05,1.0291124058714496
1.0043,1.1275710477507492e-05,1.0613471241410648
1.0043,1.6698739104064503e-05,1.042508279813338
1.0043,1.594020766603212e-05,1.0393266309136617
1.0043,1.668866108146096e-05,1.0348137621803135
1.0043,1.3482963390885368e-05,1.0563835653820062
1.0129,1.6474866654856615e-05,1.035612081856376
1.0129,1.6236320374966856e-05,1.0286817130883708
1.0129,1.6133816258006776e-05,1.0259096487542456
1.0129,2.512190940100009e-05,1.0503593590616376
1.0129,1.4626898634249458e-05,1.0348072945664524
1.0129,2.8062970007597828e-05,1.0313525028225603
1.0129,2.022316433185672e-05,1.0464151528354035
1.0129,1.539857610258126e-05,1.0380737707016297
1.0129,2.0421145474290877e-05,1.0219206582983882
1.0129,2.1810362527192293e-05,1.0307346302348075
1.0129,1.526902849525465e-05,1.0464943207886543
1.0214,1.4403599383247456e-05,1.0355331969053863
1.0214,1.5149203162922417e-05,1.0134631983513829
1.0214,1.9470387250260164e-05,1.0197383425925468
1.0214,2.3895791517015638e-05,1.0237098545608572
1.0214,9.520052697798611e-06,1.031132082693742
1.0214,1.9101655706472042e-05,1.0178972288370585
1.0214,1.984265097792032e-05,1.025771923395023
1.0214,1.7207076293389503e-05,1.0254725923900636
1.0214,1.3375363251892943e-05,1.0560635402362257
1.0214,2.1150390836648245e-05,1.05089923839276
1.0214,1.2698555075544591e-05,1.0581330039984829
1.03,1.3501130039670328e-05,1.0178450605290483
1.03,1.1309594263618994e-05,1.021507547981199
1.03,2.2662734102239034e-05,1.0350845935583224
1.03,1.7008398283124126e-05,1.0510010917972488
1.03,1.8412085998102773e-05,1.0394596196496397
1.03,1.7838914811004182e-05,1.0427969958137049
1.03,1.758684891207542e-05,1.033320654228922
1.03,1.5819217671461414e-05,1.0291565996450538
1.03,2.1009595731125222e-05,1.0335664067291115
1.03,1.598220358863041e-05,1.0476358982025518
1.03,1.0675586866077682e-05,1.0455755788720569
1.2,2.2449293890131538e-05,1.0076559680580188
1.2,2.0554194910426744e-05,1.0100193968930977
1.2,2.500229048888392e-05,1.0080342322971965
1.2,2.717288598707894e-05,1.0154554467810164
1.2,2.499727250001566e-05,1.0096099299319194
1.2,2.7694335729319212e-05,1.0090038005628292
1.2,2.3481749315138235e-05,1.018145377547195
1.2,2.825945120602468e-05,1.0098147487110452
1.2,2.3944019417731274e-05,1.0076233240425425
1.2,3.570469650790229e-05,1.012620827148501
1.2,2.0274509406276136e-05,1.0113951416828209
