h_mean,v_score
0.1,1.9553297316346074e-05
0.1,3.115117641272436e-05
0.1,3.4607276893855246e-05
0.1,4.8210782967920426e-05
0.1,5.530231777159283e-05
0.1,5.17164658934964e-05
0.1,2.7803991580050624e-05
0.1,4.5956139409705295e-05
0.1,3.7218740600508744e-05
0.1,1.3856347124822983e-05
0.1,1.3938589075903751e-05
0.2,3.836124362528201e-05
0.2,4.2537054215820346e-05
0.2,4.559592999529055e-05
0.2,7.284288451858237e-05
0.2,5.7425172673611676e-05
0.2,3.533183320656622e-05
0.2,3.638838553987177e-05
0.2,2.209925481684422e-05
0.2,5.504484713419488e-05
0.2,4.3437207178350855e-05
0.2,1.4308945658730517e-05
0.4,2.3963515583034295e-05
0.4,1.824821333258274e-05
0.4,3.3548858280746616e-05
0.4,4.7081083179342326e-05
0.4,2.0331060825719304e-05
0.4,2.904615895598471e-05
0.4,2.747414602922617e-05
0.4,2.2200570334451142e-05
0.4,2.3447377690668635e-05
0.4,1.864447763571408e-05
0.4,2.3801317322012872e-05
0.6,1.272793008022224e-05
0.6,2.716905463756906e-05
0.6,1.6943552808454835e-05
0.6,1.8625807428828894e-05
0.6,1.3973529354305713e-05
0.6,2.410179365930603e-05
0.6,1.9961603398265165e-05
0.6,3.530270555851178e-05
0.6,1.6143369641038723e-05
0.6,1.8712650224468892e-05
0.6,1.0900261933402953e-05
0.8,3.315651587857252e-05
0.8,3.3350716784106906e-05
0.8,3.568711585696273e-05
0.8,3.1466440220524544e-05
0.8,3.397450699608396e-05
0.8,5.916542796501907e-05
0.8,3.307781420700786e-05
0.8,3.6018244683228777e-05
0.8,3.5845035219745706e-05
0.8,2.993091179644107e-05
0.8,3.2987792517029014e-05
1.0,8.379109104293953e-05
1.0,7.993102525626537e-05
1.0,9.790887688170678e-05
1.0,9.09199522276366e-05
1.0,8.12415205305616e-05
1.0,8.42236219058415e-05
1.0,0.00010218782862313411
1.0,9.902670629566393e-05
1.0,9.073284260750097e-05
1.0,8.707871682510441e-05
1.0,8.190025016181781e-05
1.2,0.00015042288882892338
1.2,0.00015384120887865406
1.2,0.0001527818199864519
1.2,0.00018173925253659547
1.2,0.00017997661763580834
1.2,0.00016954010626145602
1.2,0.00016946313414297438
1.2,0.0001502126466240663
1.2,0.0001634821633713226
1.2,0.00015307494987319947
1.2,0.00014776233890216757
2.0,7.155012890446007e-05
2.0,7.350462078467272e-05
2.0,7.200873412884072e-05
2.0,7.556427036832084e-05
2.0,7.678795856185097e-05
2.0,7.18883503624021e-05
2.0,7.348281463775642e-05
2.0,7.1346994042296e-05
2.0,7.881929445774485e-05
2.0,6.684166626759973e-05
2.0,7.615574189591135e-05
3.5,2.3901992931355772e-05
3.5,2.2732118524297915e-05
3.5,2.3660278455164712e-05
3.5,2.2070957034710406e-05
3.5,2.5262209927615543e-05
3.5,2.1497030539280097e-05
3.5,2.2519983301519536e-05
3.5,2.2884479673995643e-05
3.5,2.3447244540403393e-05
3.5,2.42065928843204e-05
3.5,2.2866669863865465e-05
5.0,1.3800641461823664e-05
5.0,1.4195736300681821e-05
5.0,1.3348640480961956e-05
5.0,1.272666931691982e-05
5.0,1.3687150000613484e-05
5.0,1.347805563328488e-05
5.0,1.3584819401186501e-05
5.0,1.422349914980283e-05
5.0,1.2972960125660089e-05
5.0,1.342244705925617e-05
5.0,1.4623671209873938e-05
