h_mean,v_score,r_hat
0.1,0.9626426615115946,1.0187418258248733
0.1,28.311147726177772,1.3490549832148901
0.1,131.82794214939426,1.3405266495779704
0.1,0.553313719813014,1.0240594006192005
0.1,1.3519202318218908,1.018602527707259
0.1,0.7401267531323242,1.0295013198561909
0.1,1.2682320185780183,1.0264300363069037
0.1,0.9012549633046424,1.0380811301230604
0.1,70.69164244484375,1.3475698803962144
0.1,0.9739208465295041,1.0266019071539032
0.1,0.6678193572057793,1.0270305247909322
0.4,0.0004039500087758852,1.2541178343145576
0.4,0.0007325155882986704,1.2512095875878018
0.4,0.00042101722304729226,1.154837193387179
0.4,0.00041885702902731735,1.1370861312177787
0.4,0.0009682088884583302,1.2352536343646294
0.4,0.0003844373118918067,1.2348999409167674
0.4,0.00016546314577336245,1.1191600831216293
0.4,0.00048395322482541986,1.2663204803214452
0.4,0.0006652458435510575,1.2270697694498793
0.4,0.0007755047136062246,1.269771864261704
0.4,0.0005776652630436934,1.1707961963711473
0.8,5.093504506404851e-06,1.0264469319213514
0.8,3.1487744799169386e-05,1.015487079308897
0.8,1.46463376431118e-05,1.0360069951609947
0.8,1.1144044081922119e-05,1.0220599498104113
0.8,3.2453730862186275e-06,1.056755842718852
0.8,7.056132048982693e-06,1.0158232151603854
0.8,1.0691533068148737e-05,1.0348906397915438
0.8,1.7198980806710812e-06,1.0087212572292013
0.8,5.375195123739995e-06,1.0148257538956391
0.8,2.5430271194121154e-05,1.0411537612390582
0.8,7.2949336107411724e-06,1.030936627075204
0.9,4.714919090496147e-06,1.0090764492841562
0.9,5.678908734642509e-06,1.0328003325115263
0.9,4.357778217209112e-06,1.0771882464217215
0.9,1.5180837150959188e-05,1.0571275929999326
0.9,6.58079260476317e-06,1.0851758531008007
0.9,6.507381915086142e-06,1.0377443825210655
0.9,1.0129071794161488e-05,1.0424824282716454
0.9,1.8857170904708574e-05,1.0784087575237657
0.9,6.248268291181059e-06,1.119206054403827
0.9,4.7339693535413455e-06,1.0690482119325135
0.9,2.351843851886425e-06,1.0585653753659727
0.95,2.7937276767573885e-06,1.0258682527593703
0.95,4.223987831827772e-06,1.0463282577127584
0.95,4.103196642367113e-06,1.0532960589873588
0.95,4.877733696418958e-06,1.1378704246573386
0.95,5.709664614134228e-06,1.0244211532357828
0.95,3.825055620588557e-06,1.0549203761944268
0.95,3.0821568718315935e-06,1.0396213113581967
0.95,3.442365184231283e-06,1.0260604924813956
0.95,6.076023049010416e-06,1.0337373944679489
0.95,5.281392783178659e-06,1.051328201238858
0.95,4.400498238129537e-06,1.0482143983584729
1.0,5.254110140064444e-06,1.0185304024928075
1.0,3.6327678634587045e-06,1.0133263441520712
1.0,5.247877752389934e-06,1.0170255356553575
1.0,3.97763378905805e-06,1.0059852950265884
1.0,4.0239248432825144e-06,1.0067503768281028
1.0,4.513312878716728e-06,1.037406877759611
1.0,4.323053186065466e-06,1.019870200348289
1.0,4.798106028991245e-06,1.0101733921655545
1.0,3.1085764564094243e-06,1.0130618416027506
1.0,4.051994444850499e-06,1.0028128921841024
1.0,2.1141976857020726e-06,1.0223793837357256
1.05,4.6936125884371755e-06,1.0152563322149766
1.05,3.818110689152141e-06,1.0200444217276048
1.05,4.424044210922146e-06,1.0150885129620288
1.05,4.226998418093992e-06,1.0185136939442068
1.05,3.9397194897089755e-06,1.0305368707150002
1.05,5.64493867447735e-06,1.034330464809388
1.05,4.308164879819943e-06,1.0172317712288408
1.05,4.161204080599825e-06,1.013218734886748
1.05,6.053664225653571e-06,1.0189754873828774
1.05,4.51222060380438e-06,1.0143779895559044
1.05,3.4385894951583262e-06,1.0395041880298619
1.2,4.4004619446395095e-06,1.0120050330849304
1.2,4.076734881937945e-06,1.0183310754241763
1.2,4.058207059833849e-06,1.0182545656749757
1.2,3.6414992530254613e-06,1.0233791653177946
1.2,4.069550530299572e-06,1.0077409443351173
1.2,4.1272021338878e-06,1.0021939453112716
1.2,3.731836314097693e-06,1.0122652511668373
1.2,4.229628297250539e-06,1.0053108111637388
1.2,3.7545002317004542e-06,1.0125259466382817
1.2,3.893867236319733e-06,1.0069545322120348
1.2,2.9048768560361e-06,1.0140854344639705
2.5,4.4545161620752015e-07,1.0022282621028609
2.5,3.770769423779293e-07,1.0050918008411844
2.5,3.8115132092554096e-07,1.0068407570429028
2.5,5.124821558114265e-07,1.0127130599799732
2.5,3.7809950147098644e-07,1.0019953924857958
2.5,4.252301011666279e-07,1.0057442405787163
2.5,4.1368423559817445e-07,1.0077652636076255
2.5,5.292848183542296e-07,1.0055993003499502
2.5,5.076004256580149e-07,1.0068406979680136
2.5,4.4821065230561134e-07,1.006857234049288
2.5,2.828981727226515e-07,1.0142635253039798
4.0,2.0399161791563532e-07,1.01355793430405
4.0,1.7324687458724673e-07,1.011391009666538
4.0,1.6293255315421758e-07,1.0062573121481728
4.0,1.4997045906419862e-07,1.0121437629406362
4.0,1.548866362624935e-07,1.0100076364812867
4.0,1.8115511658016895e-07,1.0113156306093267
4.0,1.8228618614735452e-07,1.0051265868094492
4.0,1.416558404741292e-07,1.0060475399510256
4.0,1.5803831233291753e-07,1.0126170366891556
4.0,1.519380510809534e-07,1.0040137125863131
4.0,1.0519881195579881e-07,1.0149432729769035
