h_mean,v_score
0.2,0.13735625931234116
0.2,0.34635551278239435
0.2,0.2633321966121225
0.2,0.20856493733858567
0.2,0.4038082389519245
0.2,0.8790496438730239
0.2,1.0453729682029935
0.2,1.591517155771839
0.2,1.1787063944355145
0.2,0.8949949770961407
0.2,0.35234467337783126
0.6,0.027086698637984196
0.6,0.07216421946920779
0.6,0.0286894584096709
0.6,0.028604164876330603
0.6,0.0716439082102286
0.6,0.06804688564514637
0.6,0.026232896907883742
0.6,0.06963804528383304
0.6,0.025959039870086312
0.6,0.06963959237337645
0.6,0.0716155808747347
1.0,0.03946332797244186
1.0,0.07462601882248728
1.0,0.0617334256333114
1.0,0.0412772526819854
1.0,0.04003904230199847
1.0,0.0525852718415176
1.0,0.018987468830838787
1.0,0.018529179068906027
1.0,0.017592214083475874
1.0,0.05278747001991136
1.0,0.05588022097060697
1.5,1.5821300485873786e-06
1.5,0.00011378033964411986
1.5,0.0005405706777542204
1.5,0.00034820861029246297
1.5,1.530859506731319e-06
1.5,1.6101022826049266e-06
1.5,1.2631817997650912e-06
1.5,2.56576939331772e-05
1.5,0.00011300122165933964
1.5,1.3371513213462571e-06
1.5,0.00017840947250197698
2.0,8.058876197008971e-05
2.0,8.752777457378703e-06
2.0,4.30937924956558e-06
2.0,2.188101965717442e-05
2.0,2.518532383129605e-06
2.0,8.075345919795092e-06
2.0,2.2298498965977137e-05
2.0,2.295888188974025e-05
2.0,3.4021221111259837e-06
2.0,2.2466505348351503e-06
2.0,9.495477530071374e-05
2.8,6.249951027164263e-06
2.8,5.182010506763376e-06
2.8,6.686213381781584e-06
2.8,5.078228137583765e-06
2.8,4.781074950788411e-06
2.8,7.471053241498722e-06
2.8,6.249621241697548e-06
2.8,6.117880428675212e-06
2.8,5.299835783240702e-06
2.8,4.599809525488681e-06
2.8,6.378221774988577e-06
2.9,6.664260330103026e-06
2.9,5.822567612828571e-06
2.9,6.646836354527618e-06
2.9,5.542196402901942e-06
2.9,5.762626939569414e-06
2.9,5.59786421043405e-06
2.9,6.607887827875245e-06
2.9,6.3476760835455815e-06
2.9,6.044217998191345e-06
2.9,6.951417567139105e-06
2.9,5.507708507209343e-06
3.0,6.712787249222788e-06
3.0,7.683755585669968e-06
3.0,7.460776700553361e-06
3.0,7.1126262886922385e-06
3.0,6.784032852952187e-06
3.0,6.973672802939079e-06
3.0,7.451265324121737e-06
3.0,8.016113633236414e-06
3.0,7.098594310016796e-06
3.0,7.841063366709942e-06
3.0,6.363475812898683e-06
3.2,7.363600617893389e-06
3.2,6.982241212048766e-06
3.2,6.532493513366839e-06
3.2,7.054551585779087e-06
3.2,7.232679878418435e-06
3.2,6.9345473328581016e-06
3.2,7.317632870212542e-06
3.2,6.881272705470421e-06
3.2,7.265265253223325e-06
3.2,7.301605959007237e-06
3.2,6.220553057759059e-06
3.4,5.105475533564135e-06
3.4,5.132536245783883e-06
3.4,5.152938017407783e-06
3.4,5.000689145151576e-06
3.4,5.193501916464057e-06
3.4,5.386651718934424e-06
3.4,5.244974083542668e-06
3.4,5.717903422705131e-06
3.4,5.355228019645934e-06
3.4,5.17312523820723e-06
3.4,4.550760983384357e-06
3.6,4.855320049763603e-06
3.6,4.474199928413047e-06
3.6,4.5728883923726565e-06
3.6,4.2390479386467355e-06
3.6,4.355881980950034e-06
3.6,4.337296318361261e-06
3.6,4.543491486811667e-06
3.6,4.260597062747788e-06
3.6,4.405032601536195e-06
3.6,4.367849691206787e-06
3.6,3.912840026108045e-06
4.0,2.8877910156812498e-06
4.0,3.1937381157732224e-06
4.0,3.050313057004659e-06
4.0,2.974372575592619e-06
4.0,3.1951948379722584e-06
4.0,3.0742089320780426e-06
4.0,3.1250526265444917e-06
4.0,3.1059527845543973e-06
4.0,3.205429561940266e-06
4.0,2.9793970556616113e-06
4.0,2.7139790830017303e-06
5.0,1.7356908554829546e-06
5.0,1.889948437657843e-06
5.0,2.0350941258077988e-06
5.0,1.7348330079375186e-06
5.0,1.8480181278756116e-06
5.0,1.6540414572669046e-06
5.0,1.8668227997311466e-06
5.0,1.7513780839242363e-06
5.0,1.8216534262057245e-06
5.0,1.8729640573726224e-06
5.0,1.7441775943411281e-06
