sigma_test,replica,v_score_dualembed,v_score_dualembed_film
0.01,0,6.662190116396746e-07,1.1959636479654717e-06
0.01,1,6.562069996654519e-07,1.1093290530147229e-06
0.01,2,7.914864961551644e-07,1.16753009603756e-06
0.01,3,6.68889156459721e-07,1.1171131774362983e-06
0.01,4,7.300084066422331e-07,1.1534826328855953e-06
0.01,5,6.643172307643299e-07,1.1553271788217178e-06
0.01,6,6.858200791396692e-07,1.1536353120407576e-06
0.01,7,6.896044085124807e-07,1.14057612578316e-06
0.01,8,6.337037656104768e-07,1.1528053727963738e-06
0.01,9,7.022751815968143e-07,1.1884702791214616e-06
0.017435897435897435,0,7.309115863516801e-07,1.1940456286966783e-06
0.017435897435897435,1,6.73891096274595e-07,1.2467099499760228e-06
0.017435897435897435,2,7.12920529830551e-07,1.2031727866637798e-06
0.017435897435897435,3,6.990923728636852e-07,1.2892409398865318e-06
0.017435897435897435,4,6.73993473923029e-07,1.3114057170324947e-06
0.017435897435897435,5,7.613710568370617e-07,1.2190580536067361e-06
0.017435897435897435,6,6.554983813164679e-07,1.106511041413054e-06
0.017435897435897435,7,6.8363952006178e-07,1.2588838371007423e-06
0.017435897435897435,8,6.607601385176357e-07,1.1433082381387778e-06
0.017435897435897435,9,7.142636605282585e-07,1.2607752647344611e-06
0.02487179487179487,0,7.284686847461987e-07,1.2154709832218336e-06
0.02487179487179487,1,7.062265354017966e-07,1.2901146799524396e-06
0.02487179487179487,2,6.875888855347394e-07,1.1822747910036493e-06
0.02487179487179487,3,7.069524837453952e-07,1.5553081743069429e-06
0.02487179487179487,4,7.739891902753402e-07,1.385954524025604e-06
0.02487179487179487,5,7.859023712620627e-07,1.4169211216930737e-06
0.02487179487179487,6,6.854878416532999e-07,1.1361251464171957e-06
0.02487179487179487,7,6.916261338040989e-07,1.1891962700871732e-06
0.02487179487179487,8,8.344140905764616e-07,1.3343041940443581e-06
0.02487179487179487,9,7.554262740178531e-07,1.4058126379708428e-06
0.03230769230769231,0,7.293677812714953e-07,1.3437560420820537e-06
0.03230769230769231,1,6.97910863840385e-07,1.5503064255982176e-06
0.03230769230769231,2,7.800851420094788e-07,1.3108485718945808e-06
0.03230769230769231,3,8.650347316807018e-07,1.8482813947642656e-06
0.03230769230769231,4,8.385424626712776e-07,1.4500119586599709e-06
0.03230769230769231,5,8.585968552560585e-07,1.8197451091133827e-06
0.03230769230769231,6,7.872150333246141e-07,1.5429830664238922e-06
0.03230769230769231,7,6.704364489428817e-07,1.205497158465832e-06
0.03230769230769231,8,7.976933035077007e-07,1.5884727347882873e-06
0.03230769230769231,9,8.398960720510564e-07,1.7885212138591687e-06
0.03974358974358974,0,9.84801545306649e-07,1.546682613807112e-06
0.03974358974358974,1,1.5908248409425865e-06,2.117564334788038e-06
0.03974358974358974,2,8.466405460197418e-07,1.2420535167599979e-06
0.03974358974358974,3,7.500895307065363e-07,1.4689085622733095e-06
0.03974358974358974,4,7.429401245746609e-07,1.4306501617846196e-06
0.03974358974358974,5,1.3705760057332512e-06,1.5136282352922914e-06
0.03974358974358974,6,7.009218052198112e-07,1.245399591053662e-06
0.03974358974358974,7,9.289232677650462e-07,1.8493921817407732e-06
0.03974358974358974,8,1.0259963730202018e-06,1.3573126855431233e-06
0.03974358974358974,9,1.1808963261817811e-06,2.526669253355635e-06
0.04717948717948718,0,1.1095281567654563e-06,1.847965611900025e-06
0.04717948717948718,1,1.1759513849411289e-06,2.4175152954603106e-06
0.04717948717948718,2,9.058233548530258e-07,1.5160242756638858e-06
0.04717948717948718,3,8.035438868529209e-07,1.9236077155735906e-06
0.04717948717948718,4,7.856595213639736e-07,1.3021823752978055e-06
0.04717948717948718,5,9.659969057667535e-07,1.8136223941093077e-06
0.04717948717948718,6,1.3351195591342651e-06,2.179809515566493e-06
0.04717948717948718,7,8.943835517626421e-07,1.3525273779687328e-06
0.04717948717948718,8,1.114297727908701e-06,1.6211028054157796e-06
0.04717948717948718,9,1.1163075514343318e-06,1.7347097851351737e-06
0.054615384615384614,0,1.4679464287059088e-06,3.1502506303768377e-06
0.054615384615384614,1,1.2779299534751906e-06,2.7832422350704095e-06
0.054615384615384614,2,1.2484853572218372e-06,2.7535339454617356e-06
0.054615384615384614,3,1.1003744867732457e-06,2.0263116906941234e-06
0.054615384615384614,4,1.4303425176230286e-06,2.6471207226011592e-06
0.054615384615384614,5,9.167881918978129e-07,1.4345179051999928e-06
0.054615384615384614,6,9.209150786190913e-07,1.7517754438031817e-06
0.054615384615384614,7,8.268207208321626e-07,1.436319459966855e-06
0.054615384615384614,8,1.7040119597495566e-06,2.0249530206855757e-06
0.054615384615384614,9,9.748730662956417e-07,1.9072033926234488e-06
0.062051282051282054,0,1.0282258404248534e-06,2.257482812925568e-06
0.062051282051282054,1,1.1101518941306143e-06,1.974962004820846e-06
0.062051282051282054,2,2.2734832073596863e-06,3.6746268831125408e-06
0.062051282051282054,3,1.4244550456587832e-06,3.311097815067098e-06
0.062051282051282054,4,1.8334159694837025e-06,2.2255150230146364e-06
0.062051282051282054,5,1.6519304184040182e-06,2.42196042806137e-06
0.062051282051282054,6,1.8864016441619733e-06,2.6979329755482627e-06
0.062051282051282054,7,1.0242579264098042e-06,1.5577671590712619e-06
0.062051282051282054,8,8.857342105982684e-07,2.0720152423891746e-06
0.062051282051282054,9,1.1583421100819e-06,2.2399500168529606e-06
0.06948717948717949,0,1.5301612672530418e-06,2.3131268779562323e-06
0.06948717948717949,1,1.6916492228615332e-06,2.430282802204273e-06
0.06948717948717949,2,1.092892001099152e-06,3.0050752989161083e-06
0.06948717948717949,3,1.5496403387555449e-06,3.05860253802323e-06
0.06948717948717949,4,1.9517345093476825e-06,2.4557377480845802e-06
0.06948717948717949,5,9.449263944097585e-07,2.299672013936386e-06
0.06948717948717949,6,2.122222802713929e-06,4.163852805625499e-06
0.06948717948717949,7,1.7412813638201771e-06,3.115512911188686e-06
0.06948717948717949,8,1.5381851892097416e-06,2.7639109407161594e-06
0.06948717948717949,9,1.168620993556447e-06,1.5408718453933583e-06
0.07692307692307691,0,1.053931630105764e-06,1.961662755377201e-06
0.07692307692307691,1,3.2400008794112165e-06,3.5698719490364933e-06
0.07692307692307691,2,1.1254589672308611e-06,1.9902875933736042e-06
0.07692307692307691,3,1.2834222899482626e-06,2.464360824695532e-06
0.07692307692307691,4,1.9299066882789704e-06,2.396851541356766e-06
0.07692307692307691,5,1.4914790807805042e-06,2.886433860813051e-06
0.07692307692307691,6,2.4821390928795707e-06,4.23993451322221e-06
0.07692307692307691,7,1.1190572178682381e-06,2.1419655961055608e-06
0.07692307692307691,8,2.0104617099120702e-06,2.6027458220513756e-06
0.07692307692307691,9,1.4266553777920282e-06,3.64367510499042e-06
0.08435897435897435,0,4.759269495352832e-06,7.602593821057193e-06
0.08435897435897435,1,2.078176474668092e-06,2.9782450575582316e-06
0.08435897435897435,2,1.6022849284022647e-06,3.6953754366339737e-06
