sigma_test,replica,v_score_dualembed,v_score_dualembed_posenc
0.01,0,8.508310688724202e-06,1.603498415703989e-05
0.01,1,8.723455168701195e-06,1.6029871861911526e-05
0.01,2,8.834330544737107e-06,1.6277571432142876e-05
0.01,3,8.526641374031809e-06,1.5976487241965563e-05
0.01,4,9.195971209101225e-06,1.6499812863259744e-05
0.01,5,8.675137396744568e-06,1.626284694567059e-05
0.01,6,8.690786558413728e-06,1.6174754835249683e-05
0.01,7,8.771480065809855e-06,1.6271309500680622e-05
0.01,8,8.426921160843606e-06,1.602818920600197e-05
0.01,9,8.914437943422329e-06,1.6413120556171064e-05
0.017435897435897435,0,8.874749531907376e-06,1.6498953408959627e-05
0.017435897435897435,1,8.631331593674203e-06,1.6543016892327324e-05
0.017435897435897435,2,8.860549060472962e-06,1.627634727802122e-05
0.017435897435897435,3,8.597017781888508e-06,1.6179988333736827e-05
0.017435897435897435,4,8.626219951302065e-06,1.642503720092663e-05
0.017435897435897435,5,8.805515630057496e-06,1.626765018160841e-05
0.017435897435897435,6,8.445260991708235e-06,1.5864991365739147e-05
0.017435897435897435,7,8.291122268261651e-06,1.597190369275689e-05
0.017435897435897435,8,8.543980518267853e-06,1.6104170830320125e-05
0.017435897435897435,9,9.184936211480384e-06,1.648354458540346e-05
0.02487179487179487,0,8.328997006609211e-06,1.6087705895080822e-05
0.02487179487179487,1,8.828695681350198e-06,1.609314015811703e-05
0.02487179487179487,2,8.5435903349701e-06,1.612061894557138e-05
0.02487179487179487,3,9.011454972687108e-06,1.662647162666174e-05
0.02487179487179487,4,8.533351397852308e-06,1.5955033956427025e-05
0.02487179487179487,5,8.886739574681203e-06,1.6399519972810387e-05
0.02487179487179487,6,8.663599348122352e-06,1.5568555699268516e-05
0.02487179487179487,7,8.385744530408883e-06,1.6022209069596606e-05
0.02487179487179487,8,8.827359750016925e-06,1.633056502766216e-05
0.02487179487179487,9,8.533827054373425e-06,1.6057508074477722e-05
0.03230769230769231,0,8.41990183301034e-06,1.6253138863043136e-05
0.03230769230769231,1,8.482967015764814e-06,1.6272103912036266e-05
0.03230769230769231,2,8.291231212851114e-06,1.5617838031525027e-05
0.03230769230769231,3,9.880514661193598e-06,1.726811596454518e-05
0.03230769230769231,4,9.158670796726118e-06,1.653072891438577e-05
0.03230769230769231,5,1.0068213391971749e-05,1.726674210446486e-05
0.03230769230769231,6,8.665265416730971e-06,1.6277388332829777e-05
0.03230769230769231,7,8.517305727001473e-06,1.5742353270113855e-05
0.03230769230769231,8,8.575019545412465e-06,1.6449815256404914e-05
0.03230769230769231,9,9.379324674322254e-06,1.7258917990974462e-05
0.03974358974358974,0,8.790216911997013e-06,1.7065666152592205e-05
0.03974358974358974,1,1.1652211617410984e-05,1.950520644367873e-05
0.03974358974358974,2,8.373655762342384e-06,1.5790960400591553e-05
0.03974358974358974,3,8.434384063988517e-06,1.7049483737636982e-05
0.03974358974358974,4,8.510994226601099e-06,1.6067334978375313e-05
0.03974358974358974,5,1.0124589335432607e-05,1.721893347558269e-05
0.03974358974358974,6,8.553229433861383e-06,1.5856807813929297e-05
0.03974358974358974,7,9.041240603161923e-06,1.6798226653054775e-05
0.03974358974358974,8,1.0156181458135428e-05,1.7657416723559903e-05
0.03974358974358974,9,9.109406853247788e-06,1.7739446032617742e-05
0.04717948717948718,0,9.2620466082996e-06,1.753522145618515e-05
0.04717948717948718,1,9.073538503452856e-06,1.792956256447849e-05
