b,L_eff,sigma_test,replica,v_score
1,36,0.01,0,0.00012673510755412172
1,36,0.01,1,0.00012887258640143623
1,36,0.01,2,0.00012844448108161293
1,36,0.01,3,0.00012573968193313643
1,36,0.01,4,0.0001299525125406447
1,36,0.01,5,0.0001388589803180319
1,36,0.01,6,0.00012560761225660736
1,36,0.01,7,0.00012638004687427206
1,36,0.01,8,0.00012373366007821323
1,36,0.01,9,0.00011889434150172394
1,36,0.017435897435897435,0,0.00013389585001784775
1,36,0.017435897435897435,1,0.00012178742451789957
1,36,0.017435897435897435,2,0.00012981160508716632
1,36,0.017435897435897435,3,0.00012014096008247635
1,36,0.017435897435897435,4,0.0001256231959428906
1,36,0.017435897435897435,5,0.000125284766786213
1,36,0.017435897435897435,6,0.0001265831519457238
1,36,0.017435897435897435,7,0.0001266658173457855
1,36,0.017435897435897435,8,0.0001323581895105129
1,36,0.017435897435897435,9,0.00012703067385424075
1,36,0.02487179487179487,0,0.00012945742315169568
1,36,0.02487179487179487,1,0.0001272449375998077
1,36,0.02487179487179487,2,0.00012663361621452908
1,36,0.02487179487179487,3,0.00013093766591610424
1,36,0.02487179487179487,4,0.00012819170211048525
1,36,0.02487179487179487,5,0.00012416244351604264
1,36,0.02487179487179487,6,0.00012799928199419802
1,36,0.02487179487179487,7,0.00012253805000028364
1,36,0.02487179487179487,8,0.00012080674178537944
1,36,0.02487179487179487,9,0.0001240649043458967
1,36,0.03230769230769231,0,0.00013478755154026025
1,36,0.03230769230769231,1,0.00011715751912991962
1,36,0.03230769230769231,2,0.0001250749271095115
1,36,0.03230769230769231,3,0.00012353618564187014
1,36,0.03230769230769231,4,0.0001235739352532312
1,36,0.03230769230769231,5,0.00012393691886209557
1,36,0.03230769230769231,6,0.0001230597210080713
1,36,0.03230769230769231,7,0.00012179554234349125
1,36,0.03230769230769231,8,0.00012599805165439378
1,36,0.03230769230769231,9,0.00012525959054644455
1,36,0.03974358974358974,0,0.00013519421560694546
1,36,0.03974358974358974,1,0.000143020276465701
1,36,0.03974358974358974,2,0.0001287946799607069
1,36,0.03974358974358974,3,0.00012643335262938325
1,36,0.03974358974358974,4,0.00014656986698196103
1,36,0.03974358974358974,5,0.00012676219341404665
1,36,0.03974358974358974,6,0.00013026063787340003
1,36,0.03974358974358974,7,0.00012183647290317112
1,36,0.03974358974358974,8,0.00012938645508512486
1,36,0.03974358974358974,9,0.00012515748573402444
1,36,0.04717948717948718,0,0.0001142349425452953
1,36,0.04717948717948718,1,0.00014313248969216133
1,36,0.04717948717948718,2,0.00012537960002498083
1,36,0.04717948717948718,3,0.00013329316547445815
1,36,0.04717948717948718,4,0.0001403800742237914
1,36,0.04717948717948718,5,0.00012516948609917494
1,36,0.04717948717948718,6,0.0001365254985319115
1,36,0.04717948717948718,7,0.00013112706131255075
1,36,0.04717948717948718,8,0.00012936322994439633
1,36,0.04717948717948718,9,0.0001416209818212207
1,36,0.054615384615384614,0,0.00013272635455818305
1,36,0.054615384615384614,1,0.00014210102975108604
1,36,0.054615384615384614,2,0.0001271815311392268
1,36,0.054615384615384614,3,0.00012959552991700598
1,36,0.054615384615384614,4,0.00013599642188995655
1,36,0.054615384615384614,5,0.00014291741639929805
1,36,0.054615384615384614,6,0.0001291505796702183
1,36,0.054615384615384614,7,0.0001218116759713009
1,36,0.054615384615384614,8,0.00012569849462872192
1,36,0.054615384615384614,9,0.00013827716367517136
1,36,0.062051282051282054,0,0.00012709985686752952
1,36,0.062051282051282054,1,0.0001426797287062194
1,36,0.062051282051282054,2,0.00013546064590776887
1,36,0.062051282051282054,3,0.00013880393703179282
1,36,0.062051282051282054,4,0.00011647897355685821
1,36,0.062051282051282054,5,0.00013286651503556285
1,36,0.062051282051282054,6,0.000143052838056736
1,36,0.062051282051282054,7,0.00014064671287597745
1,36,0.062051282051282054,8,0.00012951900891345643
1,36,0.062051282051282054,9,0.00014963614998889723
1,36,0.06948717948717949,0,0.0001304403802181772
1,36,0.06948717948717949,1,0.00013634756211435388
1,36,0.06948717948717949,2,0.00013566687989612712
1,36,0.06948717948717949,3,0.00013614907692859697
1,36,0.06948717948717949,4,0.0001250452279831399
1,36,0.06948717948717949,5,0.00013338089732712536
1,36,0.06948717948717949,6,0.00012275515163285585
1,36,0.06948717948717949,7,0.00014675283476117232
1,36,0.06948717948717949,8,0.00013516703278683662
1,36,0.06948717948717949,9,0.00012856686793557228
1,36,0.07692307692307691,0,0.0001468573947300069
1,36,0.07692307692307691,1,0.00013076104513426397
1,36,0.07692307692307691,2,0.00014106064686184014
1,36,0.07692307692307691,3,0.00014394452647939485
