patch_size_b,L_eff,sigma_test,replica,v_score
2,32,0.01,0,5.653099586206963e-05
2,32,0.01,1,5.351794403516243e-05
2,32,0.01,2,5.354918392784367e-05
2,32,0.01,3,5.703257993855986e-05
2,32,0.01,4,5.5925164191413846e-05
2,32,0.01,5,5.808905962607462e-05
2,32,0.01,6,5.6516038590412786e-05
2,32,0.01,7,5.37379340719702e-05
2,32,0.01,8,5.457334789199174e-05
2,32,0.01,9,5.8806389287385794e-05
2,32,0.017435897435897435,0,5.54053801023221e-05
2,32,0.017435897435897435,1,5.663634635360623e-05
2,32,0.017435897435897435,2,5.844074743509124e-05
2,32,0.017435897435897435,3,6.234905462496142e-05
2,32,0.017435897435897435,4,5.905916880164529e-05
2,32,0.017435897435897435,5,6.0236600381931586e-05
2,32,0.017435897435897435,6,5.863759376501945e-05
2,32,0.017435897435897435,7,5.7748393638072154e-05
2,32,0.017435897435897435,8,5.488427872713974e-05
2,32,0.017435897435897435,9,5.4394832879402146e-05
2,32,0.02487179487179487,0,6.39989771376926e-05
2,32,0.02487179487179487,1,5.4299479778901466e-05
2,32,0.02487179487179487,2,5.636181316268604e-05
2,32,0.02487179487179487,3,5.359937967897054e-05
2,32,0.02487179487179487,4,6.204170770936507e-05
2,32,0.02487179487179487,5,5.6951945525448475e-05
2,32,0.02487179487179487,6,5.523228634784214e-05
2,32,0.02487179487179487,7,6.1014010543212315e-05
2,32,0.02487179487179487,8,5.656412265586391e-05
2,32,0.02487179487179487,9,5.864398916773248e-05
2,32,0.03230769230769231,0,5.548534251202872e-05
2,32,0.03230769230769231,1,5.897791415589733e-05
2,32,0.03230769230769231,2,5.934620331478774e-05
2,32,0.03230769230769231,3,5.9475754913818505e-05
2,32,0.03230769230769231,4,6.10775813990452e-05
2,32,0.03230769230769231,5,5.531110619875473e-05
2,32,0.03230769230769231,6,6.27988321915983e-05
2,32,0.03230769230769231,7,5.6854644043255286e-05
2,32,0.03230769230769231,8,5.7599708623880605e-05
2,32,0.03230769230769231,9,5.6358152562902264e-05
2,32,0.03974358974358974,0,5.9751707290294005e-05
2,32,0.03974358974358974,1,5.6624961779484835e-05
2,32,0.03974358974358974,2,5.906020910370174e-05
2,32,0.03974358974358974,3,5.5938185935199385e-05
2,32,0.03974358974358974,4,5.9836990833873744e-05
2,32,0.03974358974358974,5,5.672598491127033e-05
2,32,0.03974358974358974,6,6.018971327020578e-05
2,32,0.03974358974358974,7,5.9391272432811134e-05
2,32,0.03974358974358974,8,5.815172789655841e-05
2,32,0.03974358974358974,9,6.169645074824731e-05
2,32,0.04717948717948718,0,6.218810879896719e-05
2,32,0.04717948717948718,1,6.291400226915711e-05
2,32,0.04717948717948718,2,5.478136961999843e-05
2,32,0.04717948717948718,3,5.653971492846855e-05
2,32,0.04717948717948718,4,6.285250074741146e-05
2,32,0.04717948717948718,5,6.186065325661899e-05
2,32,0.04717948717948718,6,6.047261817873895e-05
2,32,0.04717948717948718,7,5.775158318991197e-05
