d_spin,d_coup,split,sigma_test,replica,v_score
4,12,4/12,0.01,0,1.3497492446183714e-06
4,12,4/12,0.01,1,1.2973657828835776e-06
4,12,4/12,0.01,2,1.3307902388033127e-06
4,12,4/12,0.01,3,1.2728131177656021e-06
4,12,4/12,0.01,4,1.3228052490270482e-06
4,12,4/12,0.01,5,1.3222483146311786e-06
4,12,4/12,0.01,6,1.283760060199877e-06
4,12,4/12,0.01,7,1.2920187846640652e-06
4,12,4/12,0.01,8,1.3325019739183476e-06
4,12,4/12,0.01,9,1.3058813488009511e-06
4,12,4/12,0.017435897435897435,0,1.3703123989993086e-06
4,12,4/12,0.017435897435897435,1,1.5002633986074444e-06
4,12,4/12,0.017435897435897435,2,1.4409411145595151e-06
4,12,4/12,0.017435897435897435,3,1.3809401763955615e-06
4,12,4/12,0.017435897435897435,4,1.352904872422185e-06
4,12,4/12,0.017435897435897435,5,1.465159989099165e-06
4,12,4/12,0.017435897435897435,6,1.2344419713307404e-06
4,12,4/12,0.017435897435897435,7,1.326057509302402e-06
4,12,4/12,0.017435897435897435,8,1.3381384820102332e-06
4,12,4/12,0.017435897435897435,9,1.379539877651574e-06
4,12,4/12,0.02487179487179487,0,1.4110551687210522e-06
4,12,4/12,0.02487179487179487,1,1.4331689968978745e-06
4,12,4/12,0.02487179487179487,2,1.3545982818161632e-06
4,12,4/12,0.02487179487179487,3,1.5124556127069193e-06
4,12,4/12,0.02487179487179487,4,1.4641162945807664e-06
4,12,4/12,0.02487179487179487,5,1.6508111375406397e-06
4,12,4/12,0.02487179487179487,6,1.2838525238626494e-06
4,12,4/12,0.02487179487179487,7,1.29830227174139e-06
4,12,4/12,0.02487179487179487,8,1.6458567833067771e-06
4,12,4/12,0.02487179487179487,9,1.4186269758153734e-06
4,12,4/12,0.03230769230769231,0,1.5859660370782776e-06
4,12,4/12,0.03230769230769231,1,1.5987962708232136e-06
4,12,4/12,0.03230769230769231,2,1.4816767528323478e-06
4,12,4/12,0.03230769230769231,3,1.5795992719398526e-06
4,12,4/12,0.03230769230769231,4,1.6065229531047116e-06
