sigma_test,replica,v_score_standard,v_score_posenc
0.01,0,2.317529704541653e-05,2.508979657328551e-05
0.01,1,2.1456832745901457e-05,2.2989688080090172e-05
0.01,2,2.2382919506183024e-05,2.4857656263675407e-05
0.01,3,2.1748022069535932e-05,2.4192876918343822e-05
0.01,4,2.307750399571832e-05,2.5720183523204474e-05
0.01,5,2.3030793492938224e-05,2.6253619076622493e-05
0.01,6,2.1912033263801188e-05,2.423415256432411e-05
0.01,7,2.1483081070102906e-05,2.4324951664369622e-05
0.01,8,2.2910434860547954e-05,2.5888565037568607e-05
0.01,9,2.3304673454762533e-05,2.6452409129643098e-05
0.017435897435897435,0,2.896508238895518e-05,3.0603346009361426e-05
0.017435897435897435,1,2.60622276427149e-05,2.9123395752488583e-05
0.017435897435897435,2,2.6431098504858036e-05,2.859207243962143e-05
0.017435897435897435,3,2.552007507470444e-05,2.7897071980122584e-05
0.017435897435897435,4,2.3757848196511697e-05,2.6978780650658616e-05
0.017435897435897435,5,2.479335489138785e-05,2.7098195424976596e-05
0.017435897435897435,6,2.2897421724698828e-05,2.4000225583281442e-05
0.017435897435897435,7,2.9579770293923227e-05,3.301413031205708e-05
0.017435897435897435,8,2.2657903057389874e-05,2.533746655580531e-05
0.017435897435897435,9,2.4447090863991195e-05,2.761012884916343e-05
0.02487179487179487,0,2.9096643873239875e-05,3.4223143652214026e-05
0.02487179487179487,1,2.290071480484464e-05,2.470258647989433e-05
0.02487179487179487,2,2.509726024813903e-05,2.7576849569105124e-05
0.02487179487179487,3,2.4381117270226223e-05,2.842889990139136e-05
0.02487179487179487,4,2.7792012374161016e-05,2.929273033972938e-05
0.02487179487179487,5,3.845389996289078e-05,4.277869610522161e-05
0.02487179487179487,6,2.7290414604992653e-05,2.9030400142308012e-05
0.02487179487179487,7,2.859764789234186e-05,3.0350880072833595e-05
0.02487179487179487,8,4.0346316529522383e-05,4.219583081847427e-05
0.02487179487179487,9,2.6693025749372154e-05,2.9928303777579296e-05
0.03230769230769231,0,2.8468622608258937e-05,3.3114124158423636e-05
0.03230769230769231,1,3.112837251257182e-05,3.389992165338472e-05
0.03230769230769231,2,5.446224049698501e-05,5.349933769569694e-05
0.03230769230769231,3,2.89763709987986e-05,3.195841390700862e-05
0.03230769230769231,4,2.6383257420973506e-05,2.9232338379926043e-05
0.03230769230769231,5,2.5461474308357617e-05,2.624009139089739e-05
0.03230769230769231,6,4.3602029986173037e-05,4.780442291976876e-05
0.03230769230769231,7,3.027375206667084e-05,3.430325315209919e-05
0.03230769230769231,8,2.4018544442647876e-05,2.9533666516194528e-05
0.03230769230769231,9,2.765496844797967e-05,3.177999811873877e-05
