batch_config,sigma_test,replica,v_score
n=160,0.01,0,0.00012611403439318522
n=160,0.01,1,0.00012549226601336235
n=160,0.01,2,0.00012627665641124638
n=160,0.01,3,0.00012465388190690803
n=160,0.01,4,0.00012531187481603818
n=160,0.01,5,0.00012277039214806382
n=160,0.01,6,0.0001230401238835302
n=160,0.01,7,0.00012371941754341054
n=160,0.01,8,0.00012521014734782839
n=160,0.01,9,0.00011742360626870869
n=160,0.017435897435897435,0,0.00012731012945766353
n=160,0.017435897435897435,1,0.00012627760549761862
n=160,0.017435897435897435,2,0.00012193427909188516
n=160,0.017435897435897435,3,0.0001224692000426378
n=160,0.017435897435897435,4,0.00012204940960951415
n=160,0.017435897435897435,5,0.00012918802782592212
n=160,0.017435897435897435,6,0.0001235912949115977
n=160,0.017435897435897435,7,0.0001253530074505851
n=160,0.017435897435897435,8,0.00012119175851577056
n=160,0.017435897435897435,9,0.00012555200108141804
n=160,0.02487179487179487,0,0.00012582431593692115
n=160,0.02487179487179487,1,0.00012472076245162965
n=160,0.02487179487179487,2,0.00012574438191494518
n=160,0.02487179487179487,3,0.00012638306501435643
n=160,0.02487179487179487,4,0.00012701476355913866
n=160,0.02487179487179487,5,0.00013007825527736869
n=160,0.02487179487179487,6,0.00012594481577431855
n=160,0.02487179487179487,7,0.00012022442884434802
n=160,0.02487179487179487,8,0.00012796239807015485
n=160,0.02487179487179487,9,0.00012231198513755451
n=160,0.03230769230769231,0,0.0001242612486712232
n=160,0.03230769230769231,1,0.0001180393611176705
n=160,0.03230769230769231,2,0.0001275813499049611
n=160,0.03230769230769231,3,0.00012544132920796388
n=160,0.03230769230769231,4,0.0001260389256517567
n=160,0.03230769230769231,5,0.00013109457020721508
n=160,0.03230769230769231,6,0.0001231120272730168
n=160,0.03230769230769231,7,0.0001249705794569244
n=160,0.03230769230769231,8,0.00012638597422241942
n=160,0.03230769230769231,9,0.00012591372307935137
n=160,0.03974358974358974,0,0.0001260657300334976
n=160,0.03974358974358974,1,0.0001313892529767527
n=160,0.03974358974358974,2,0.00012342295878423203
n=160,0.03974358974358974,3,0.0001246292258084993
n=160,0.03974358974358974,4,0.0001337190208949787
n=160,0.03974358974358974,5,0.00013088880326492678
n=160,0.03974358974358974,6,0.00013118500959785143
n=160,0.03974358974358974,7,0.00012558524433694155
n=160,0.03974358974358974,8,0.00013047841376138342
n=160,0.03974358974358974,9,0.0001219823514267236
n=160,0.04717948717948718,0,0.00012372138608268736
n=160,0.04717948717948718,1,0.00013070074241255565
n=160,0.04717948717948718,2,0.00012355793691655126
n=160,0.04717948717948718,3,0.00013502458223252586
n=160,0.04717948717948718,4,0.0001329201112445972
n=160,0.04717948717948718,5,0.00012680038966275992
n=160,0.04717948717948718,6,0.00013417914777885047
n=160,0.04717948717948718,7,0.00012717732014285967
n=160,0.04717948717948718,8,0.00012476502008297564
n=160,0.04717948717948718,9,0.00013048603380786804
n=160,0.054615384615384614,0,0.00013081408854449046
n=160,0.054615384615384614,1,0.00013803450247773305
n=160,0.054615384615384614,2,0.00012653917825328703
n=160,0.054615384615384614,3,0.00012911109385791453
n=160,0.054615384615384614,4,0.0001286791182748214
n=160,0.054615384615384614,5,0.00013580584601465052
n=160,0.054615384615384614,6,0.0001285794700707235
n=160,0.054615384615384614,7,0.0001266030788695224
n=160,0.054615384615384614,8,0.00012338235138240527
n=160,0.054615384615384614,9,0.00013709783977596898
n=160,0.062051282051282054,0,0.00013875621563332201
n=160,0.062051282051282054,1,0.00013282138198195587
n=160,0.062051282051282054,2,0.00013397898275194654
n=160,0.062051282051282054,3,0.00013998156251886844
n=160,0.062051282051282054,4,0.00013446616252803568
n=160,0.062051282051282054,5,0.00012822264350904598
n=160,0.062051282051282054,6,0.0001385385721477181
n=160,0.062051282051282054,7,0.0001373950018568803
n=160,0.062051282051282054,8,0.00012919490441745392
n=160,0.062051282051282054,9,0.00014299649650619518
n=160,0.06948717948717949,0,0.0001265806759185048
n=160,0.06948717948717949,1,0.00013693098231214895
n=160,0.06948717948717949,2,0.00014198767644224257
n=160,0.06948717948717949,3,0.0001348355353319525
n=160,0.06948717948717949,4,0.00013159101659478552
n=160,0.06948717948717949,5,0.0001352542113362393
n=160,0.06948717948717949,6,0.00013306810828679803
n=160,0.06948717948717949,7,0.00013832204455478694
n=160,0.06948717948717949,8,0.00013826835765609375
n=160,0.06948717948717949,9,0.00012821601220290124
n=160,0.07692307692307691,0,0.00015022106858421805
n=160,0.07692307692307691,1,0.00013269827369215536
n=160,0.07692307692307691,2,0.00012942645205025327
n=160,0.07692307692307691,3,0.00013326534951735097
n=160,0.07692307692307691,4,0.00012992487615907626
n=160,0.07692307692307691,5,0.00015023797016754708
n=160,0.07692307692307691,6,0.00013187359853852407
n=160,0.07692307692307691,7,0.0001365669667710248
n=160,0.07692307692307691,8,0.00015361644609351123
n=160,0.07692307692307691,9,0.00013875063687144798
n=160,0.08435897435897435,0,0.00014496946130312434
n=160,0.08435897435897435,1,0.00014072814416712524
n=160,0.08435897435897435,2,0.00013723161611232717
n=160,0.08435897435897435,3,0.00014806989620916306
n=160,0.08435897435897435,4,0.00012997548084220812
n=160,0.08435897435897435,5,0.00015259567265531757
n=160,0.08435897435897435,6,0.0001322452280883114
n=160,0.08435897435897435,7,0.00012656623270237836
n=160,0.08435897435897435,8,0.00013136025496107725
n=160,0.08435897435897435,9,0.00014293213987272272
n=160,0.0917948717948718,0,0.00014491138192665231
n=160,0.0917948717948718,1,0.0001347123991221597
n=160,0.0917948717948718,2,0.00013832252396045268
n=160,0.0917948717948718,3,0.0001354883769861208
n=160,0.0917948717948718,4,0.00014024915957652303
n=160,0.0917948717948718,5,0.00015698827335272706
n=160,0.0917948717948718,6,0.00014278958844336822
n=160,0.0917948717948718,7,0.00013871155227792353
n=160,0.0917948717948718,8,0.00016133129063271184
n=160,0.0917948717948718,9,0.00015112723286081129
n=160,0.09923076923076922,0,0.00015033928215770956
n=160,0.09923076923076922,1,0.00012671325844578163
n=160,0.09923076923076922,2,0.00014943190718451254
n=160,0.09923076923076922,3,0.00013273011905433677
n=160,0.09923076923076922,4,0.00013939971823498674
n=160,0.09923076923076922,5,0.00014021238280786445
n=160,0.09923076923076922,6,0.00015681038533482992
n=160,0.09923076923076922,7,0.00014494251275493756
n=160,0.09923076923076922,8,0.0001314628018851683
n=160,0.09923076923076922,9,0.0001287644216671124
n=160,0.10666666666666666,0,0.00014050560406156547
n=160,0.10666666666666666,1,0.00014580360244143377
n=160,0.10666666666666666,2,0.0001454436922148451
n=160,0.10666666666666666,3,0.0001458186305269013
n=160,0.10666666666666666,4,0.0001376034967663557
n=160,0.10666666666666666,5,0.00016611317653480315
n=160,0.10666666666666666,6,0.0001298571818689974
n=160,0.10666666666666666,7,0.00015479164735582505
n=160,0.10666666666666666,8,0.00014161985524339761
n=160,0.10666666666666666,9,0.0001569157623988306
n=160,0.1141025641025641,0,0.00015095478171459197
n=160,0.1141025641025641,1,0.00014765173312580708
n=160,0.1141025641025641,2,0.00016010632154232255
n=160,0.1141025641025641,3,0.00014791709175559971
n=160,0.1141025641025641,4,0.00013339584201024424
n=160,0.1141025641025641,5,0.00015017343560404977
n=160,0.1141025641025641,6,0.00014349474190325883
n=160,0.1141025641025641,7,0.00014362603035172439
n=160,0.1141025641025641,8,0.00013794314633590738
n=160,0.1141025641025641,9,0.00015054415110581836
n=160,0.12153846153846153,0,0.0001654925474144245
n=160,0.12153846153846153,1,0.00015806197378415748
n=160,0.12153846153846153,2,0.0001475867909977921
n=160,0.12153846153846153,3,0.0001528909822227605
n=160,0.12153846153846153,4,0.00013756568000297055
n=160,0.12153846153846153,5,0.00014720420394159848
n=160,0.12153846153846153,6,0.00014073125575863964
n=160,0.12153846153846153,7,0.00014942459891882973
n=160,0.12153846153846153,8,0.00015082089601846184
n=160,0.12153846153846153,9,0.00016903723108291601
n=160,0.12897435897435897,0,0.00016854376519964432
n=160,0.12897435897435897,1,0.00015010430514295677
n=160,0.12897435897435897,2,0.0001753172523467897
n=160,0.12897435897435897,3,0.00015806650280517543
n=160,0.12897435897435897,4,0.00016963904862809455
n=160,0.12897435897435897,5,0.00015843829893690022
n=160,0.12897435897435897,6,0.000144679546575805
n=160,0.12897435897435897,7,0.00016121112669176992
n=160,0.12897435897435897,8,0.00015949357948440092
n=160,0.12897435897435897,9,0.00016909819161726322
n=160,0.13641025641025642,0,0.00016807763888665572
n=160,0.13641025641025642,1,0.0001502314619870774
n=160,0.13641025641025642,2,0.00020473605791013834
n=160,0.13641025641025642,3,0.00018979133147490414
n=160,0.13641025641025642,4,0.000143422520800582
n=160,0.13641025641025642,5,0.0001695057993386307
n=160,0.13641025641025642,6,0.00030684016344618715
n=160,0.13641025641025642,7,0.0001682886015357225
n=160,0.13641025641025642,8,0.0001505230699750601
n=160,0.13641025641025642,9,0.00015410453852989967
n=160,0.14384615384615385,0,0.00015622120830238192
n=160,0.14384615384615385,1,0.00016899359206167005
n=160,0.14384615384615385,2,0.00017815144070771198
n=160,0.14384615384615385,3,0.00016222982773041327
n=160,0.14384615384615385,4,0.000142486828388408
n=160,0.14384615384615385,5,0.00017469541280057898
n=160,0.14384615384615385,6,0.0001952481857683185
n=160,0.14384615384615385,7,0.0001666268864152855
n=160,0.14384615384615385,8,0.00018325516629373592
n=160,0.14384615384615385,9,0.00015600168400035808
n=160,0.1512820512820513,0,0.0001952226305048416
n=160,0.1512820512820513,1,0.00015466638682469313
n=160,0.1512820512820513,2,0.0001754926809104231
n=160,0.1512820512820513,3,0.00014731033807105436
n=160,0.1512820512820513,4,0.00016616805631358982
n=160,0.1512820512820513,5,0.00019271277960489406
n=160,0.1512820512820513,6,0.00015859872084186293
n=160,0.1512820512820513,7,0.00015364586285401737
n=160,0.1512820512820513,8,0.0002143914439711646
n=160,0.1512820512820513,9,0.00015161694101926225
n=160,0.15871794871794873,0,0.00016989788625923922
n=160,0.15871794871794873,1,0.0001922373353098241
n=160,0.15871794871794873,2,0.00016701315191952867
n=160,0.15871794871794873,3,0.00015089434763821625
n=160,0.15871794871794873,4,0.00015997964274023146
n=160,0.15871794871794873,5,0.00016249134895050395
n=160,0.15871794871794873,6,0.00015378638453731252
n=160,0.15871794871794873,7,0.00018380141804685628
n=160,0.15871794871794873,8,0.00020639183870886082
n=160,0.15871794871794873,9,0.00022141500127880354
n=160,0.16615384615384615,0,0.0002046788350340509
n=160,0.16615384615384615,1,0.00020479764614650002
n=160,0.16615384615384615,2,0.00018402463953209669
n=160,0.16615384615384615,3,0.00018837138842496215
n=160,0.16615384615384615,4,0.00018906014119064775
n=160,0.16615384615384615,5,0.00018673679273708204
n=160,0.16615384615384615,6,0.0001849232569861691
n=160,0.16615384615384615,7,0.00016766411459398096
n=160,0.16615384615384615,8,0.00016628364483578935
n=160,0.16615384615384615,9,0.00016318180778669873
n=160,0.1735897435897436,0,0.00019762934098039133
n=160,0.1735897435897436,1,0.00018816493931889182
n=160,0.1735897435897436,2,0.0001901123778735391
n=160,0.1735897435897436,3,0.00015414520714281476
n=160,0.1735897435897436,4,0.000191763495046103
n=160,0.1735897435897436,5,0.00014710088041780777
n=160,0.1735897435897436,6,0.00019108264633506226
n=160,0.1735897435897436,7,0.00018188757041109508
n=160,0.1735897435897436,8,0.00021987732251304057
n=160,0.1735897435897436,9,0.00017848485125260792
n=160,0.18102564102564103,0,0.00020448297600997366
n=160,0.18102564102564103,1,0.00015648428888857902
n=160,0.18102564102564103,2,0.00016962227188972465
n=160,0.18102564102564103,3,0.00016980933365588034
n=160,0.18102564102564103,4,0.00016239252863779052
n=160,0.18102564102564103,5,0.0002060247574052702
n=160,0.18102564102564103,6,0.00022210388193271446
n=160,0.18102564102564103,7,0.00018049187622751255
n=160,0.18102564102564103,8,0.00016713363562999346
n=160,0.18102564102564103,9,0.00021981451515404272
n=160,0.18846153846153846,0,0.000203464932533444
n=160,0.18846153846153846,1,0.00018730697464434232
n=160,0.18846153846153846,2,0.00016421513555622827
n=160,0.18846153846153846,3,0.00017990563426113253
n=160,0.18846153846153846,4,0.0001732278834230598
n=160,0.18846153846153846,5,0.00018382454698853757
n=160,0.18846153846153846,6,0.00017987842708602625
n=160,0.18846153846153846,7,0.0002184864978327658
n=160,0.18846153846153846,8,0.0002837446542160179
n=160,0.18846153846153846,9,0.00020561171107211167
n=160,0.1958974358974359,0,0.0001895538446451535
n=160,0.1958974358974359,1,0.000184888305370264
n=160,0.1958974358974359,2,0.00020055923069246549
n=160,0.1958974358974359,3,0.00020576265460004644
n=160,0.1958974358974359,4,0.00024260001142451573
n=160,0.1958974358974359,5,0.00018094119090720855
n=160,0.1958974358974359,6,0.0003014175387284089
n=160,0.1958974358974359,7,0.0002184895180388372
n=160,0.1958974358974359,8,0.0001515487469518061
n=160,0.1958974358974359,9,0.00020222345777012372
n=160,0.20333333333333334,0,0.00017373255087536912
n=160,0.20333333333333334,1,0.0002120042488210661
n=160,0.20333333333333334,2,0.0001788076382729851
n=160,0.20333333333333334,3,0.0002227229129463538
n=160,0.20333333333333334,4,0.0002073576518889491
n=160,0.20333333333333334,5,0.00019630507908513243
n=160,0.20333333333333334,6,0.0001972858691003155
n=160,0.20333333333333334,7,0.00018197588456690046
n=160,0.20333333333333334,8,0.00018370856603076952
n=160,0.20333333333333334,9,0.00020289124736025556
n=160,0.21076923076923076,0,0.0002180731083303922
n=160,0.21076923076923076,1,0.0002270107305055011
n=160,0.21076923076923076,2,0.00019301823925875838
n=160,0.21076923076923076,3,0.00021598409255951939
n=160,0.21076923076923076,4,0.00020386025747868645
