H,Magnetization,Magnetization_Error,Magnetization_Sq,Magnetization_Sq_Error,V_Score,Energy,Energy_Variance
0,0.11333333333333334,0.05736304139878324,1.0000000000000002,nan,0.0,-25.0,0.0
0.2,0.1268666666666667,0.05694479340814486,0.9891626666666667,0.001591770718646608,3.2717974170655667e-06,-25.25050227833485,0.0020860583308676957
0.4,0.09126666666666669,0.056290903021384946,0.9598933333333336,0.002966458619421606,8.294519917315365e-07,-26.01063102722364,0.0005611681723427871
0.6,0.2175333333333334,0.053164417367954624,0.8978240000000002,0.004881576779871212,9.978698052154632e-06,-27.304871370337402,0.00743967821046718
0.8,0.053466666666666676,0.050862777774743725,0.7862933333333337,0.008177980480579591,1.4148205318501146e-05,-29.191188046358405,0.012056045958946719
0.9,0.09846666666666669,0.045765160774772135,0.6543360000000001,0.0115936111387072,1.2546587691808409e-05,-30.398416265903162,0.011593846388840612
0.95,0.0074000000000000055,0.041842239689364416,0.5467093333333335,0.013323379523673863,1.3565110930882408e-05,-31.087783444882046,0.013110005250815253
1.0,0.052933333333333346,0.03600830439197583,0.42115200000000014,0.014719657464613628,1.1829527302354499e-05,-31.84669460996857,0.011997648042574124
1.05,0.018266666666666667,0.03083545914593686,0.3253013333333334,0.01319613524208537,7.882218031538343e-06,-32.68249309134459,0.008419354574850582
1.1,-0.006466666666666667,0.025431706952513407,0.23233066666666669,0.011149824352311901,4.2271962241428595e-06,-33.57464888212765,0.0047651367350762626
1.2,0.013266666666666668,0.020863684202904305,0.17433600000000002,0.008935075682823163,2.9016870170247413e-06,-35.489998676343234,0.0036547908829693923
1.4,0.03186666666666667,0.015221094524327695,0.11282133333333334,0.005456448197079069,1.2588045965779523e-06,-39.6288515518735,0.001976884486530239
1.6,0.0164,0.012838186095481801,0.08934399999999999,0.004331915484966079,8.335874499282929e-07,-44.01292833289543,0.0016147738092408856
1.8,0.013800000000000003,0.011676028624684184,0.08192,0.0035933370439065575,7.567162228230998e-07,-48.542689759625155,0.0017831206054517753
2.0,0.012266666666666669,0.01070060157533557,0.073152,0.003084771968521787,8.278325815112329e-07,-53.177926531273954,0.0023410210271137925
2.3,-0.006066666666666666,0.009971380527771951,0.064096,0.0029599707866426283,7.684366734809816e-07,-60.251899449426155,0.0027896490373956213
2.6,0.01986666666666667,0.009198064208581345,0.05975466666666667,0.0025582435455832817,7.446375469656066e-07,-67.4271811153456,0.003385438575657982
3.0,0.007666666666666664,0.009211325557080182,0.06112,0.0024847610213727467,6.67946850569928e-07,-77.09641923925307,0.003970181137498138
3.5,-0.006133333333333333,0.008168173103690436,0.055456000000000005,0.002248677288244507,5.310401404797962e-07,-89.29390283563993,0.0042341960315476984
4.0,-0.012933333333333333,0.00813402911413708,0.052330666666666664,0.002080179046424895,3.203402885266414e-07,-101.56787969181228,0.003304641367302572
4.5,-0.0007333333333333321,0.007270823479776831,0.047445333333333325,0.0019409812623363322,2.6533630683831096e-07,-113.89359951422594,0.0034418767716372653
5.0,-0.001133333333333333,0.007316355093340663,0.048458666666666664,0.002054845134653074,2.011685176865322e-07,-126.25325114744105,0.003206602720763488
