L,H,Magnetization,Magnetization_Error,Magnetization_Sq,Magnetization_Sq_Error,V_Score,Energy,Energy_Variance
4,1,0.018750000000000003,0.03427384105342667,0.5547916666666667,0.014207106292731218,5.9953584634539076e-09,-4.758761743459584,1.357697686158951e-07
5,1,0.011666666666666662,0.03431701338122838,0.5205333333333334,0.014591289131482476,9.569930458178909e-08,-6.026760978968284,3.475975584927249e-06
6,1,0.07555555555555556,0.034006384053271534,0.4805555555555556,0.013888580243484152,1.1611922543319798e-06,-7.296446264447861,6.181970197321294e-05
7,1,-0.02214285714285714,0.03430569027854604,0.46149659863945586,0.013629086031542729,1.2374087333685928e-06,-8.567023203430322,9.081823621524755e-05
8,1,0.029375000000000002,0.032369348766747436,0.4203645833333334,0.014351032694383169,4.104578670981947e-06,-9.838036443751685,0.0003972696960312794
9,1,-0.010000000000000009,0.03317569722169234,0.4185185185185185,0.014200870365282853,4.2738918395345545e-06,-11.109993416267367,0.000527534819696857
10,1,0.003333333333333335,0.0330742710790035,0.41393333333333343,0.013461037877546472,5.193745405311445e-06,-12.381778523226615,0.0007962450027200554
11,1,0.00863636363636364,0.03157706985582296,0.3753168044077136,0.013882896718293136,8.356246726173217e-06,-13.653018935744452,0.0015576455531297355
12,1,-0.034722222222222224,0.03323297005014613,0.3878703703703705,0.014838586734062277,7.57654462822173e-06,-14.92475415986799,0.0016876623352886926
13,1,0.01769230769230769,0.032488940109740516,0.37921104536489153,0.014357914252360948,7.282934816890223e-06,-16.198009647492306,0.0019108637845105711
14,1,0.0038095238095238082,0.030245262242755155,0.3337074829931972,0.01346045607918,8.951131504460778e-06,-17.46684198553393,0.0027309058034208225
15,1,0.008999999999999998,0.03144132886017745,0.35487407407407406,0.013742056015051195,1.0576295927229656e-05,-18.743251009640577,0.0037155527941830904
16,1,-0.016770833333333336,0.030447080375864483,0.3331119791666667,0.013308616850568066,9.718416801979641e-06,-20.014007124667998,0.0038928137105696124
17,1,0.0438235294117647,0.02950328408205259,0.3135640138408305,0.013233466790802818,1.0444984668825193e-05,-21.285716700989155,0.00473243178075867
18,1,-0.04740740740740743,0.029324848348820137,0.3077160493827161,0.01252802156463129,9.735645146450315e-06,-22.558149187625958,0.004954178668332844
19,1,-0.01657894736842105,0.029130194846066087,0.3007571560480148,0.012748648166571449,1.0527346216927856e-05,-23.829183597278625,0.0059777429066941775
20,1,0.02616666666666667,0.03029225087316826,0.31393333333333345,0.01342456130740578,1.264964598245078e-05,-25.10944284788469,0.007975400917216493
