H,Magnetization,Magnetization_Error,Magnetization_Sq,Magnetization_Sq_Error,V_Score,Energy,Energy_Variance
0,-0.02666666666666668,0.05771449525866933,1.0000000000000002,nan,0.0,-50.0,0.0
0.2,0.08680000000000003,0.05741836020724461,0.9966720000000002,0.0008466081659579398,4.237797886032219e-08,-50.12427651775841,0.00010647226042821817
0.4,0.10686666666666668,0.057126589904124996,0.9906773333333335,0.001414761408493659,7.868177273603636e-08,-50.50040132259752,0.00020066138018686377
0.6,-0.05953333333333336,0.057008336102584045,0.9789973333333335,0.0022207117924632146,2.681191608573274e-08,-51.1271506880375,7.008596088016019e-05
0.8,0.06580000000000004,0.05641984560221501,0.960298666666667,0.0031348095094823132,7.497159215044509e-07,-52.00680976946579,0.002027762847343971
0.9,0.05233333333333334,0.05610953243103734,0.9485440000000003,0.003424815354633492,7.99402849460028e-07,-52.54176276877299,0.0022068609521034184
0.95,0.10993333333333336,0.055624494870781804,0.9418240000000003,0.003549168521092104,1.2303503337188424e-06,-52.832073863710335,0.0034341883366463158
1.0,-0.017466666666666675,0.05570434599708505,0.9330240000000002,0.003919554151516046,2.640269940402463e-06,-53.139303826389444,0.007455556267269129
1.05,-0.06053333333333336,0.05542136718577721,0.9271146666666669,0.004031182092233089,3.024333815849923e-06,-53.464095763742776,0.008644784618772638
1.1,-0.048200000000000014,0.055194547637324565,0.918506666666667,0.004289335336579507,2.741649343488433e-06,-53.80722528284952,0.007937671137950821
1.2,-0.039200000000000006,0.054877217292586725,0.9075840000000002,0.004619808080669826,2.583907031114638e-06,-54.53699332461866,0.007685272412223625
1.4,0.08486666666666667,0.05346314355253084,0.8688746666666669,0.005732386518202876,5.09864933459431e-05,-56.16934392477465,0.16086214161524431
1.6,0.002266666666666669,0.05234951540332503,0.8270293333333336,0.0064373766066850805,1.7768390142663093e-05,-58.10597322787054,0.05999148892898293
1.8,-0.015666666666666666,0.05089243194846982,0.7837760000000003,0.007410297930132996,3.674834323742135e-05,-60.29341731606744,0.13359111148545819
2.0,0.00826666666666668,0.0488930236635347,0.7259520000000002,0.008219018776796498,5.250075909768258e-05,-62.758729429712076,0.20678254110692107
2.3,0.012866666666666672,0.04478089060037735,0.6161066666666669,0.010013447550761521,8.964969879385403e-05,-67.03515170333229,0.4028598881690873
2.6,0.048066666666666674,0.037419673771763244,0.45088000000000017,0.011868640435103672,7.428972912203185e-05,-72.06537882770667,0.3858176777696638
3.0,-0.014933333333333335,0.024914319547571808,0.2328746666666667,0.009952883628748377,1.1872662505055577e-05,-80.12355873874095,0.07621993668220697
3.5,0.00033333333333333256,0.0164098773326943,0.1319786666666667,0.00605965472381487,1.271670898644993e-06,-91.5138242392742,0.010649964042757955
4.0,0.009000000000000003,0.012300361331639365,0.08835200000000001,0.004052285759365394,8.147854881599876e-07,-103.38091578660982,0.008708112585645047
4.5,0.007800000000000001,0.011672830752554318,0.081792,0.0035029716603668572,3.197886026457188e-07,-115.44195638904463,0.004261773234541363
5.0,0.00946666666666667,0.010383916338189485,0.06986666666666667,0.0034177415978434694,1.736594412707856e-07,-127.6151641883266,0.0028281534292597535
